date_documented,date,time,described_duration,described_ufo,full_description,city,state,latitude,longitude
11/2/1999,3/7/1996,12:25 am,45 min.,,"young man and woman report witnessing an obj. in the w sky, that was moving &amp  flashing red, blue, and white.  moved suddenly.",coral gables,fl,25.7211111,-80.2686111
11/2/1999,3/7/1996,08:55 pm,2 min.,,"man &amp  wife witness odd obj. w/ red and orange flashing lights fly very low over their house from the se. reversed direction, flew off.",henderson,nv,36.0397222,-114.9811111
5/11/2005,3/7/2005,08:30 pm,12-15 mins.,,"as my daughters and i sat in our hot tub out back....my oldest daughter asked about a ""green star.""  i looked up and saw what looked li",bozeman,mt,45.6797222,-111.0377778
4/12/2013,3/8/1962,09:00 pm,30 minutes,,"oh my god!!! i thought that it was just me, i was afraid to ask my neighbors if they had heard what i had heard on the evening of 2/27/",clayton,nc,35.6505556,-78.4566667
11/2/1999,3/8/1995,05:45 am,2 min.,,mother reports children approached by circular obj. w/ lights. directly overhead. telepathic msg. reported.,ammon,id,43.4697222,-111.9658333
3/31/2008,3/8/2008,07:00 pm,@ least 1 hour,,flashing lights in sky over lancaster pa,holtwood,pa,39.8319444,-76.3277778
11/2/1999,3/9/1995,09:00 pm,1 hour,,"two young brothers report bizarre object giving off ""blue lines"" of light.",plant city,fl,28.0183333,-82.1130556
11/2/1999,3/9/1996,01:15 am,90 sec.,,"two young men in public park witness ""meteor,"" then realize there are multiple tiny v-shaped objs. overhead. objs. form wedges.",boise,id,43.6136111,-116.2025
4/1/2000,3/9/2000,09:30 pm,2 sec.,,fireball in southern sky appx. 15 deg. abv. hor.  e. to w. slight down.,springfield,il,39.8016667,-89.6436111
3/16/2001,3/9/2001,11:15 am,5 minutes,,mci,kansas city,mo,39.0997222,-94.5783333
4/27/2007,3/9/2007,06:00 pm,5 min.,,"an anomalous event: living in bremerton, wa., near psns shipyard.i reported to a friend yesterday (09/mar/07)a mass flight of seem-",bremerton,wa,47.5675,-122.6313889
3/10/2011,3/9/2011,06:44 pm,5 minutes,,unknown falling object from the sky over tampa fl,tampa,fl,27.9472222,-82.4586111
11/2/1999,4/10/1995,01:30 am,3 min.,,"man  woman witness white light descend from sky to low altitude, turn blue, streak off.",apple valley,ca,34.5008333,-117.185
11/2/1999,4/10/1995,02:25 am,5 sec.,,anonymous caller repts. bizarre white ball of light seen descending to s of goleta.  (rept. from commo. cntr.?),goleta,ca,34.4358333,-119.8266667
4/16/2005,4/10/2005,10:52 pm,eight seconds,,2 red lights moving together and apart with a hazy cloaked craft inbetween. dark sky.,santa cruz,ca,36.9741667,-122.0297222
12/12/2009,4/10/2009,02:23 am,1 minute,,image of a sphinx in a cloud of light  over manhatten at 2:am along with two fighter jets,new york city,ny,40.7141667,-74.0063889
10/30/2006,4/11/1984,02:00 am,1 hour,,strange lightning,monahans,tx,31.5941667,-102.8922222
11/2/1999,4/11/1996,01:00 pm,30 min.,,"auto mechanics rept. bizarre red light that streak around shop, ""like laser.""  appears to come down out of sky  no other people nearby.",memphis,tn,35.1494444,-90.0488889
5/29/2012,4/11/2002,02:00 pm,5 minutes,,white light establishes message to two witnesses in texas,midland,tx,31.9972222,-102.0775
5/15/2013,4/11/2013,12:00 am,20 seconds,,"object my brother and i seen was a ""v-shaped"" object,then it seemed to change shapes to a circle type shape.",bethany,ok,35.5186111,-97.6319444
4/18/2014,4/11/2014,11:00 pm,2 hours,,strange rumble/jet engine noise followed by orange/red glow on horizon.,parrish,fl,27.5872222,-82.4252778
8/30/1999,4/1/1983,09:00 pm,60-120 sec.,,"an object with 3 lights travelled north, then west, then south, making 3 right angle turns. it then met up with a much larger, wing-sha",bishop,ca,37.3636111,-118.3941667
8/5/2001,4/1/1996,12:00 am,90 min.,,multiple witnesses report yellow object in night sky.,lumberton,tx,30.2655556,-94.1994444
1/29/2002,4/1/2000,10:00 pm,5 seconds,,meteor sound,los alamos,nm,35.8880556,-106.3063889
4/14/2009,4/1/2009,08:00 pm,30 seconds,,bright  twinkling light with no colors flew witrh unusual pattern including a short curve and blinked out,apache junction,az,33.415,-111.5488889
11/2/1999,4/12/1996,09:45 pm,7 min.,,"man repts. ""cluster of lights in w sky, very bright, stationary, 1/3 dia. of moon.""  (calls next day--object is venus.)",olathe,ks,38.8813889,-94.8188889
11/2/1999,4/12/1996,10:08 pm,5 sec.,,"man sees formation of 10-12 dimly lit amber lights in wedge-formation pass e to w overhead at very high speed, like shooting star.",baltimore,md,39.2902778,-76.6125
11/2/1999,4/12/1996,11:55 pm,15 min.,,"crew of bus jet call to describe sighting:  intensely bright ball of light at 40k' approached their a/c, ""jumped"" 10-20 mi. in seconds!",phillipsburg,pa,40.6933333,-80.2822222
11/2/1999,4/12/1996,11:55 pm,15 min.,,"ny faa center (artcc) shift-supervisor calls to rept. strange obj. seen on radar at 40k'.  obj. paced jet, seen by several other a/c.",phillipsburg,pa,40.6933333,-80.2822222
4/25/2002,4/12/2002,10:00 pm,1.5 hours,,at 10 pm my wife observed a light in the southwestern sky that was odd because it was moving erratically. i joined her on the deck and,lonsdale,mn,44.4802778,-93.4283333
5/12/2009,4/12/2005,11:00 pm,10 seconds,,i was driving on mulholland drive at around 11 pm heading back home. i had a friend who was sitting in the front seat and another follo,hollywood,ca,34.0983333,-118.3258333
4/18/2014,4/12/2014,08:00 pm,15 minutes,,"several sets of orange fireballs.  appeared to be moving in pairs, coming from the gulf.  no sound.  moving very fast.",panama city beach,fl,30.1763889,-85.8055556
4/18/2014,4/12/2014,10:00 pm,4 hours,,in west virginia about 5 miles south of milton on big 2 mile rd saturday evening 4-12-14 between 8pm and midnight i saw 10-12 bright or,milton,wv,38.4344444,-82.1325
11/2/1999,4/13/1995,11:07 pm,5 sec.,,"memphis faa controller relays sighting rept.--- man sees green ""roman candle"" descend to ground, streak north.",west memphis,tn,35.1494444,-90.0488889
4/27/2007,4/13/2007,02:00 am,5 seconds,,ufo over warwick new york,warwick,ny,41.2563889,-74.3602778
5/12/2010,4/13/2010,10:15 pm,15 seconds,,"amend previous report: it was heading west-northwest, not east.  got confused.  sorry.",sunnyside,wa,46.3238889,-120.0075
5/2/2011,4/13/2011,09:40 pm,5 seconds,,bright orange lights in triangular formation.,augusta,ga,33.4708333,-81.975
5/15/2013,4/13/2013,11:30 pm,2 minutes,,observed 3 orange orb like shapes moving north to south in direction just east of downtown chicago. altitude less then 5k feet.  orbs a,chicago,il,41.85,-87.65
4/18/2014,4/13/2014,10:30 pm,2 hours,,two large orbiting lights in the southern sky from 22:30 to at least 0:30 meeting every 5 seconds from opposite directions.,new port richey,fl,28.2438889,-82.7194444
11/2/1999,4/14/1996,02:05 am,1 minute,,"man delivering newspapers sees large ""trapezoid of very bright amber lights w/ strobes"" pass slowly overhead sw to ne.  silent.",st. cloud,mn,45.5608333,-94.1622222
11/2/1999,4/14/1996,02:10 am,45 sec.,,"man, 3 neighbors witness ""huge"" cluster of amber lights pass slowly from sw to ne. sky crystal clear. steady pace, no noise.",wyoming,mn,45.3363889,-92.9969444
11/2/1999,4/14/1996,03:10 am,1 min.,,"mi hwy. patrol off. w/ partner on hwy. 31 see 2x glowing obj. overhead. obj. had ""long, burning tail, like rooster tail.""  2nd car saw.",petoskey,mi,45.3733333,-84.9552778
11/2/1999,4/14/1996,03:10 am,5 min.,,"man, wife, 2 adults witness 2 very bright objs. pass across sky, followed by 4 smaller lights.  huge tail 1 mi. long. steady pace.",st. ignace,mi,45.8686111,-84.7277778
11/2/1999,4/14/1996,10:00 pm,2 sec.,,"faa employee reports seeing 20x tiny, ""pinpoints of gold or yellow color"" lights streak overhead. multiple clusters.",st. johns,mi,43.0011111,-84.5591667
11/2/1999,4/14/1996,12:00 am,1 minute,,"woman, husband see ""huge"" cluster of 5x bright lights pass from sw to ne beneath broken clouds. beautiful ""tail of light!!""",luck,wi,45.5761111,-92.4825
4/15/2000,4/14/2000,09:45 pm,5 sec.,,only saw it for a few seconds it had a mass of lights mostly white with a few red. it was rooftop level and heading north east.,new haven,ct,41.3080556,-72.9286111
11/2/1999,4/15/1995,07:30 pm,30 sec.,,"young man repts. daylight sighting of egg-, or cigar-, shaped silver object.  (see other sightings from phila./pottstown pa.)",earlville,pa,40.3166667,-75.7372222
11/2/1999,4/15/1996,05:13 am,4 sec.,,"man sees enormous blue light pass s to n in w sky.  obj. flashed, turned pure white, streak n, then break up into pieces. 1/10th moon.",bakersfield,ca,35.3733333,-119.0177778
11/2/1999,4/15/1996,05:13 am,4 sec.,,reporter calls re multiple repts. of bright obj. streaking over bakersfield.  writes article.  (many other repts. after article.),bakersfield,ca,35.3733333,-119.0177778
11/2/1999,4/15/1996,05:13 am,4 sec.,,"woman observes round ball of light streak from e to w very fast, flashed 3-4 times.  visible through clouds, ""like heat lightning.""",campbell,ca,37.2872222,-121.9488889
4/28/2001,4/15/2001,10:00 pm,3 hours,,"not a quick, here then gone event, lasted several hours and witnessed by 6 people",mansfield,la,32.0375,-93.7
11/2/1999,4/16/1995,01:10 am,45 sec.,,woman (prior caller) repts. 3x12' rectangular section of driveway illuminated from above.  similar to her incident 22fe95.,woodinville,wa,47.7544444,-122.1622222
11/2/1999,4/16/1995,08:30 pm,10 sec.,,"man witnessed 2 rectangular ""lights"" that looked like ""strips of green light.""  he watched 2 sets of them pass across sky.",medford,ma,42.4183333,-71.1066667
11/2/1999,4/16/1995,10:10 pm,2 min.,,"man repts. witnessing two ""grayish-white"" discs flying s to n apparently above clouds.  flight was steady,  non-erratic.",tacoma,wa,47.2530556,-122.4430556
11/2/1999,4/16/1996,01:45 am,2 min.,,"man driving on hwy 4 sees 2x bright lights, flashes headlights at them.  objs. extinguish, then reappear as 1 red w/4x white lights!",pleasant hill,ca,37.9480556,-122.0597222
8/7/2007,4/16/2007,09:30 pm,few minutes,,"mufon/washington report:  very bright, stationary, red light, which pulsed on and off slowly.",anacortes,wa,48.5127778,-122.6113889
6/12/2008,4/16/2008,10:30 pm,10 seconds,,no ufo's in kokomo.,kokomo,in,40.4863889,-86.1336111
4/17/2008,4/16/2008,11:30 pm,seconds,,"woman reports seeing object strike the ground  police cruiser nearby, the occupant of which apparently witnessed the same event.",kokomo,in,40.4863889,-86.1336111
11/2/1999,4/17/1996,09:00 pm,6 sec.,,"man repts. ""8-12, maybe 15"" objs., ""size of stars,"" moving very fast in formation w to e overhead.  then sees 2x a/c in formation.",pine bluff,ar,34.2283333,-92.0030556
11/2/1999,4/17/1997,05:30 pm,3 sec.,,"woman near tunk(?) valley sees large, very bright ball of light streak down out of the sky.  ""layers"" of light:  green, red, green.",okanogan,wa,48.3613889,-119.5822222
5/15/2006,4/17/2006,02:20 am,1 second,,"at 2:20am a very powerful explosion sound occurred. it shook my entire house, woke the neighbors and set off car alarms throughout the",surprise,az,33.6305556,-112.3325
11/2/1999,4/18/1995,08:30 pm,3 min.,,"teen w/ friends witness two large, orange lights hovering.  objs. descend, move away.  1/4 diameter of full moon.",leesport,pa,40.4469444,-75.9666667
11/2/1999,4/18/1995,10:34 pm,10 min.,,"14-yr. old youth w/ friends witness very bright, white, oval light in ne sky.  (facts unclear)",gilbertsville,pa,40.32,-75.6105556
11/2/1999,4/18/1997,04:20 am,3 sec.,,"man sees a large, white disc in the night sky.  obj. splits into 2 smaller orange orbs, one of which maneuvers, then 2 orbs rejoin!",hartford,sd,43.6230556,-96.9422222
5/12/2009,4/18/2009,10:45 pm,15 secs,,"objects were flying south/south east. we saw them as we drove east along 102nd ave in seminole near to 125th st.     two objects, could",seminole,fl,27.8394444,-82.7913889
11/2/1999,4/19/1995,12:30 am,10 sec.,,man witnesses four strange lights in formation in nw sky.  2 lights  were bright &amp  large  2 were dull &amp  smaller.  disappeared,new smyrna beach,fl,29.0255556,-80.9272222
11/2/1999,4/19/1995,07:58 pm,90 sec.,,"woman witnesses obj. like ""round planet w/ rings"" in nw sky, which then moved very fast to e sky. daughter witnesses obj.",clovis,ca,36.8252778,-119.7019444
11/2/1999,4/19/1995,09:44 pm,5 sec.,,"man witnesses cluster of objects ""like arrows"" streaking overhead at (apparently) high altitude.  called faa office to rept.",binghamton,ny,42.0986111,-75.9183333
11/2/1999,4/19/1995,09:45 pm,15 min.,,"family &amp  12 athletes witness huge, black disc w/ dome in center.  very close. returns on second occasion.",richmond,va,37.5536111,-77.4605556
11/2/1999,4/20/1995,12:02 am,2 min.,,"female student w/ friend witness huge red light in sky.  2 others witness.  obj pulsated, started to flicker.  winked out.",fargo,nd,46.8772222,-96.7894444
11/2/1999,4/20/1995,11:20 pm,15 sec.,,"man repts. obj. fly overhead w to e.  looked like 4 lights in a square pattern, blue in front, 3 white lights on other corners.",watauga,tx,32.8577778,-97.2544444
11/2/1999,4/20/1996,01:00 am,4 min. ,,"young man on rte. 135 hears rear defroster  buzz, sees huge, very bright boomerang-shaped obj. overhead. rnd. bubble on bottom.",gilman,vt,44.4122222,-71.7227778
11/2/1999,4/20/1996,10:05 pm,3 min.,,"man sees ""2 glowing balls of light"" descend out of sky, reverse positions, streak to e.  objs. gave off sparks as they moved e.",redding,ca,40.5866667,-122.3905556
11/2/1999,4/20/1997,04:00 am,5 sec.,,"couple in hotel room witness a very bright, white light streak from e sky to n.  vastly faster than any aircraft.  unblinking.",reno,nv,39.5297222,-119.8127778
11/2/1999,4/20/1997,08:05 pm,3 sec.,,"man sees 5 prominent shafts of ""emerald green"" light in n sky radiating in a ""fan pattern.""  seemed to come from one point in the sky.",lakewood,wa,47.1719444,-122.5172222
11/2/1999,4/21/1995,11:49 pm,60 sec.,,"younth &amp  friend witness saucer-shaped obj. w/ dome pass overhead.  2 lights on each side, red in front, strobe behind red.",oregon,il,42.0147222,-89.3322222
11/2/1999,4/21/1997,08:40 pm,20 sec.,,"woman sees extremely bright, oval shaped obj. streak down out of a clear evening sky to the w.  1/4 dia. of full moon.",la conner,wa,48.3888889,-122.495
11/2/1999,4/21/1997,08:40 pm,3 sec.,,2 males witness an extremely bright light descend in w night sky.  5 times size of bright star.  80 deg. angle of descent.  no sound.,stanwood,wa,48.2413889,-122.3694444
11/2/1999,4/21/1997,09:20 pm,3 -10 sec.,,"man noticed a peculiar ""star-like"" obj. in sky  suddenly accelerated and moved n to s very fast.  obj. zigzagged twice,  disappeared.",los angeles,ca,34.0522222,-118.2427778
5/24/1999,4/21/1999,09:30 pm,5 seconds,,first thought that it was a flair and then realized it was to big and moving to fast.  thought it was close enough to north richland th,richland,wa,46.2858333,-119.2833333
11/2/1999,4/2/1995,11:25 pm,20 min.,,family reports strange lights to west over water.,smith river,ca,41.9283333,-124.1458333
8/5/2001,4/2/1996,08:15 pm,5 sec.,,"man standing outside house witnesses ""star"" moving w to e in n sky. ""star"" suddenly ""turns 90 deg., goes straight up out of sight.",jacksonville,fl,30.3319444,-81.6558333
4/3/2011,4/2/2011,06:15 am,1 minute,,"yellowish light, moving very slowly",rocky mount,mo,38.2722222,-92.7194444
4/12/2013,4/2/2013,10:35 pm,seconds,,saw a fireball or silent explosion in the sky.,conway,sc,33.8358333,-79.0480556
4/4/2014,4/2/2014,10:00 pm,5 minutes,,alien in the tree?,lehigh acres,fl,26.625,-81.625
11/2/1999,4/22/1995,01:05 am,1 hour,,woman repts. two objects in proximity  witnessed two nights sequentially in same part of sky.  (possible stars??),oregon city,or,45.3575,-122.6055556
11/2/1999,4/22/1995,10:37 pm,4 sec.,,"2 univ. stud. see dramatic ""meteor"" in s sky, then witness  chevron of lights ""like kite"" in same area of sky. zig-zags off!",seattle,wa,47.6063889,-122.3308333
11/2/1999,4/22/1995,11:49 pm,60 sec.,,"local police relay rept. from youth, who had reported seeing saucer-shaped obj. w/ dome and marker lights.",oregon,il,42.0147222,-89.3322222
11/2/1999,4/22/1996,03:15 am,45 min.,,"woman sees ""bnright whitish-gold light"" hovering in sky.  two smaller lights on either side.",rochester,mn,44.0216667,-92.4697222
11/2/1999,4/22/1996,09:30 pm,4 sec.,,"man repts. seeing a round, ""shapeless,"" red object in sky while riding bicycle.  hears momentary, high-pitched ""beep or click.""",edmonds,wa,47.8108333,-122.3761111
7/16/2006,4/22/2006,03:15 am,8-10 sec,,3-4 twirling noise whith no engine sound at all  -just a twirling noise,fairport,ny,43.0986111,-77.4422222
4/24/2014,4/22/2014,09:00 pm,2 days,,"helicopters going over at night, weird sounds outside and inside for the past 2 days.",walla walla,wa,46.0647222,-118.3419444
8/16/2002,4/23/1995,09:30 pm,5 min.,,"man &amp  wife witness ""armada of bright objs,"" streak across sky in formation.  fly se.  very unusual.  not meteors!",bradenton,fl,27.4986111,-82.575
11/2/1999,4/23/1995,09:30 pm,1 sec.,,"woman hears strange, loud humming overhead, which ceases, then starts again.  looks up, sees multiple strange lights.",hickory corners,mi,42.4413889,-85.3755556
11/2/1999,4/23/1996,05:10 pm,6 min.,,"woman, other commuters on ridgefield rd. witness bright, shiny, chrome-colored obj. hovering below overcast.  ""just above trees.""",richmond,va,37.5536111,-77.4605556
11/2/1999,4/23/1997,12:05 am,2 sec.,,"attorney/public employee sees peculiar white light move across cloudy sky very rapidly.  ""looked like a lightbulb.""  flew behind cloud.",seattle,wa,47.6063889,-122.3308333
7/16/2003,4/23/2003,08:10 pm,8 minutes,,"a beautiful, round, pure red light in the sky just after dark.",hemet,ca,33.7475,-116.9711111
5/13/2012,4/23/2012,09:33 pm,10 minutes,,"lights appeared and moved around lighting show in yakima, washington",yakima,wa,46.6022222,-120.5047222
5/13/2012,4/23/2012,09:46 pm,3 to 5 min,,white light descended and ascended with strong flash.,new york city,ny,40.7141667,-74.0063889
11/2/1999,4/24/1995,10:14 pm,30 min.,,"five witnesses rept. observing strange light in eastern sky.  saw it on 21fe and 22fe, as well.  (possible star?)",beaver creek,or,45.2880556,-122.5344444
11/2/1999,4/24/1996,01:15 am,40 sec.,,"man sees ""round, black orb"" pass across top of crescent moon.  obj. appeared jet black.  excellent written rept. and drawing.",port angeles,wa,48.1183333,-123.4294444
10/19/2011,4/24/1997,11:00 pm,2 hrs.,,"group of 8 women witness complex light moving dramatically in night sky.  light moves over sea, joined by 2nd light, both disappear.",depoe bay,or,44.8086111,-124.0619444
4/28/2001,4/24/2001,11:55 pm,35 minutes,,"man reports witnessing a very bright light, below solid overcast, in the southern sky",bristol,tn,36.595,-82.1888889
9/1/2004,4/24/2004,01:30 am,3-5 min.,,tinley park follow-up,tinley park,il,41.5733333,-87.7844444
4/24/2014,4/24/2014,03:00 am,2 hours,,strange lights near mars visible from earth,mojave,ca,35.0525,-118.1730556
11/2/1999,4/25/1995,02:30 am,3 sec.,,"two youth  witness flash in sky, then ""vapor trail"" streaking down.  witness green strobe, ""like lightning,"" in woods nearby.",grape creek,il,40.0677778,-87.5986111
11/2/1999,4/25/1995,12:30 pm,75 min.,,"man, lying on bed, sees very bright ball of light enter apt.. could feel heat from obj., felt paralyzed.  loud humming above",portland,or,45.5236111,-122.675
11/2/1999,4/25/1996,09:30 pm,1 hour,,"man on rte. 126 sees bright white flash of light, then missing time.  experiences peculiar events, sees strange visions from history.",santa barbara,ca,34.4208333,-119.6972222
11/2/1999,4/25/1996,10:00 pm,30 min.,,"man sees pulsing red light in ne sky.  obj. moves slowly to se sky, drops down to horizon slowly, disappears behind houses.",gold river,ca,38.6263889,-121.2455556
11/2/1999,4/25/1996,10:05 pm,55 min.,,"man, wife, daughter, in-laws see very bright, strange obj. in sky.  had regular pulsing lights, 1/4 dia. of full moon.",bishop,ca,37.3636111,-118.3941667
6/12/2008,4/25/2000,09:25 pm,1-3 minutes,,"loud noise of an extremely low flying plane in grand rapids, mi, 4/25/08, from  e or se, sounded like it was going to crash.",grand rapids,mi,42.9633333,-85.6680556
11/2/1999,4/26/1996,03:30 am,2 hrs.,,"woman &amp  mother witness very bright, elongate obj. in e sky.  appeared to have 2x lights on it.  suddenly ascended straight up.",langley,wa,48.0402778,-122.405
11/2/1999,4/26/1996,08:50 pm,10 sec.,,"man sees very bright, ""electric-blue"" light traveling s to n in e sky.  light, ""size of venus,"" suddenly disappears.  silent, no tail.",merced,ca,37.3022222,-120.4819444
5/11/2005,4/26/2005,08:30 pm,3 seconds,,"i witnessed this event this evening, 4/26/05 but your form would not let me enter today's date. ((nuforc note:  iridium flare.  pd))",lewiston,me,44.1002778,-70.2152778
11/2/1999,4/27/1996,10:30 pm,7 min.,,"man at hwy.rest stopwitnesses black, delta-shaped obj. hovering motionless.  obj. shoots ""confined beam"" down to ground! humming.",albany,or,44.6366667,-123.1047222
6/12/2007,4/27/2007,11:45 pm,2-3 minutes,,night sky flashes in tempe illuminating entire sky. 6 total flashes. all occured within a minute. there was no sound.,tempe,az,33.4147222,-111.9086111
5/12/2010,4/27/2010,09:40 am,5 seconds,,"solid white, triangular object seen in day light",waverly,tn,36.0838889,-87.7947222
11/2/1999,4/28/1996,01:30 am,3 sec.,,"four teenagers on hill see immense, very bright ball of greenish-white light streak vert. down, hit ground 20 miles (?) to sw. silent.",kalispell,mt,48.1958333,-114.3119444
11/2/1999,4/28/1996,01:40 am,4 sec.,,"sheriff's deputy sees extremely bright blue-green ball of light--""1/2 diameter of moon""--streak down, disappear. lit 1/4 of nw sky.",idaho falls,id,43.4666667,-112.0333333
11/2/1999,4/28/1996,01:45 am,4 sec.,,"group of young people witness blue-green light--""ball of fire""--streak down at angle.  4 min. later, hear 2x loud booms.  dramatic!",idaho falls,id,43.4666667,-112.0333333
8/5/2001,4/28/2001,02:01 pm,2-5 min.,,"woman reports hearing sharp explosion, witnessing fireball, and seeing smoke over north portland.",portland,or,45.5236111,-122.675
5/4/2004,4/29/2004,11:10 pm,10 sec,,"was directly overhead, was looking at the moon about 15 degrees to my right. object travelled from north to south, noticed it at about",seattle,wa,47.6063889,-122.3308333
11/2/1999,4/30/1995,08:55 pm,75 min.,,"father &amp  son,  fishing,  witness bizarre flashing light, which moved across sky,  increased height. bizarre through binoculars.",san diego,ca,32.7152778,-117.1563889
11/2/1999,4/30/1996,10:05 pm,23 min.,,"woman, several youth, witness 2x very bright lights moving irregularly in n sky.  changed elevation, seemed to move relative to a/c.",spokane,wa,47.6588889,-117.425
5/2/2011,4/30/2011,10:20 pm,11 seconds,,bright blue light shoots across pennsylvania sky causing power outages and stopping car engines.  ((nuforc note:  2nd witness.  pd)),saegertown,pa,41.7188889,-80.1477778
11/2/1999,4/3/1995,02:00 am,3 hrs.,,"woman &amp  boyfriend witness 3x strange obj., ""sheet of green, laser"" light.  project beams of light to ground.",bakersfield,ca,35.3733333,-119.0177778
11/2/1999,4/3/1995,10:30 am,2 min.,,young boy witnesses two discs 50-60' from home.  takes polaroid photo of one w/ smoke trail. good photo.,haslett,mi,42.7469444,-84.4011111
8/5/2001,4/3/1996,10:30 pm,5 min.,,"man and family witness 5 bright, whit lights oriented in single file pass overhead slowly from e to w.  very strange.",las vegas,nv,36.175,-115.1363889
8/5/2001,4/3/1996,11:00 pm,18 min.,,"fontana police relay rept.:  family had just called to report large, orangish light rotating, maneuvering in sky over city.",fontana,ca,34.0922222,-117.4341667
11/2/1999,4/3/1996,11:00 pm,18 min.,,"wife, husband, 3 children observe large, orange ball of extremely bright light in night sky.  obj. hovered, zigzagged, disappeared.",fontana,ca,34.0922222,-117.4341667
5/11/2005,4/3/2005,05:00 am,5 minutes,,blue flashes during night snowstorm with power disruption,slippery rock,pa,41.0638889,-80.0566667
8/5/2001,4/4/1996,02:45 am,6 sec.,,"man driving s on hwy. 215 east sees ""huge falling star"" descend out of night sky.  strange, distinctly blue color.",las vegas,nv,36.175,-115.1363889
11/2/1999,4/4/1997,08:30 pm,5 sec.,,"man sees ""movement"" in e sky, notices 7-9 faint orange lights in ""boomerang"" formation.  lights move from e to nw sky in 5 sec..",winsted,ct,41.9211111,-73.0605556
6/12/2008,4/4/2008,11:00 pm,5 minutes,,"pin sized light over cicero, indiana passed overhead extremely fast , then vanished.",cicero,in,40.1238889,-86.0133333
11/2/1999,4/5/1995,01:00 am,1 hour,,"young man repts. stationary, bright, colorful light in e sky.  (possible star)",bakersfield,ca,35.3733333,-119.0177778
11/2/1999,4/5/1995,09:45 pm,1 hour,,"young woman sees bizarre green, white, &amp  red ""stick,"" which rotates 90 deg., expands laterally.  good rept.",boyertown,pa,40.3336111,-75.6377778
8/5/2001,4/5/1996,08:30 pm,30 min.,,"pilot repts. 2 bizarre, large, bright red lights hovering ""at 245 degrees, 45 degrees up"" viewed from his home.  faded sequentially.",san diego,ca,32.7152778,-117.1563889
8/5/2001,4/5/1996,09:00 pm,10 min.,,"anon. male caller repts. 2 bright red lights hovering together ""35 deg. to left of venus.""  objs. move in formation to left, disappear.",san diego,ca,32.7152778,-117.1563889
4/27/2007,4/5/2007,02:00 am,2 hours,,flashes,raymond,nh,43.0361111,-71.1838889
5/12/2011,4/5/2011,03:00 am,1.5minutes,,"((hoax??))  at 3am i let my boxer, buster, out.  i was standing in the doorway waiting for him when i saw a little "" et""  run.",grand rapids,mi,42.9633333,-85.6680556
5/2/2011,4/5/2011,08:40 pm,2 minutes,,fire ball ufo,vacaville,ca,38.3566667,-121.9866667
11/2/1999,4/6/1995,12:58 am,30 sec.,,"man &amp  wife witness orange, ""dirty yellow"" cigar-shaped obj. above w horizon.  passed behind tree, faded out.",burlington,nj,40.0711111,-74.8652778
8/5/2001,4/6/1996,10:07 pm,10 sec.,,"man in hot tub sees 2 very bright objs. side by side streaking s to n, both suddenly stop.  joined by 3rd obj. from nw.  streak off.",billings,mt,45.7833333,-108.5
4/11/2014,4/6/2014,08:30 pm,5+ minutes,,"     driving north in vancouver, washington, approx. 8:30pm on april 6th 2014, i noticed a bright orange light in the northern sky.",vancouver,wa,45.6388889,-122.6602778
11/2/1999,4/7/1995,09:00 pm,7 sec.,,college stud. sees 3 objs. in formation pass directly overhead.  very fast.  covers 120 deg. in 7 seconds.,boulder,co,40.015,-105.27
8/5/2001,4/7/1996,11:50 am,6 sec.,,"former usaf pilot sees silver/gray disc streak up to aft end of departing ual dc-10.  obj. accelerates dramatically, ascend @ 45 deg.!",lakewood,co,39.7047222,-105.0808333
8/5/2001,4/7/1996,01:30 pm,10 sec.,,"six people see witness 747 airliner approaching airport w/ ""30' white sphere"" just below it.  obj. suddenly departs over horizon.",bellflower,ca,33.8816667,-118.1161111
8/5/2001,4/7/1996,06:15 pm,10 min.,,"man &amp  wife see a circular, or disc-shaped, obj. streaking overhead.  very high, goes up through high clouds. like ""silver cigar.""",seattle,wa,47.6063889,-122.3308333
8/7/2007,4/7/2007,01:00 am,1 hour,,there were many people in cole county and surrounding counties that seen the object also.,russellville,mo,38.5116667,-92.44
5/15/2013,4/7/2013,11:05 am,5-10 seconds,,two star like lights moving across the sky in unison,plantation,fl,26.1272222,-80.2333333
4/14/2009,4/8/2009,02:50 pm,20 minutes,,group of round silver objects traveling across sky and reversing direction .,oklahoma city,ok,35.4675,-97.5161111
8/16/2002,4/9/1996,09:50 pm,40 min.,,"woman, co-worker see very bright light to w over ocean. ""teardrop"" shaped obj. drops from it, shoots off! guards rept.radio static.",bradenton,fl,27.4986111,-82.575
11/2/1999,5/10/1995,03:00 am,2 min.,,"man repts. son's bizarre sighting of small humanoid creature in back yard.  reptd. in acteon journal, st. louis ufo newsletter.",columbia,mo,38.9516667,-92.3338889
11/2/1999,5/10/1996,09:30 pm,20 sec.,,"man looking n, sees ""line of lights, cascading l to r,"" streak  to n horizon.  no sound.  no craft visbl.(very detailed written rept.)",everett,wa,47.9791667,-122.2008333
11/2/1999,5/11/1995,12:15 am,45 min.,,"man repts. two ""stars"" that appear to be moving erratically.  (possible twinkling star,  except for reported motion of objects.)",palm desert,ca,33.7222222,-116.3736111
5/13/2003,5/11/2003,09:20 am,30 minutes,,"california highway patrol officer reports lengthy sighting of peculiar, metallic-appearing disc in the morning sky over goleta.",goleta,ca,34.4358333,-119.8266667
