date_documented,date,time,described_duration,described_ufo,full_description,city,state,latitude,longitude
10/31/2003,10/20/2003,01:30 am,1hr and still going,,object hovering at top of mountain rising slowly but steady up and to the right. the object has a bright white light that stays on all,mercersburg,pa,39.8277778,-77.9036111
5/12/2009,10/20/2007,01:00 am,25 min.,,to director of ufo center,opal,wy,41.7691667,-110.3252778
10/30/2012,10/20/2012,12:30 am,90 seconds,,observed a fast moving spherical object moving horizontally across the eastern horizon.,virginia beach,va,36.8527778,-75.9783333
11/3/2005,10/21/2005,11:05 pm,4 seconds,,1 large lime green meteor like object no meteor tail. fell at an angle from northwest to southeast. much larger than other meteors i ha,canyonville,or,42.9275,-123.28
10/30/2012,10/21/2012,11:57 pm,90 seconds,,large orange ball over rhode island.,cranston,ri,41.7797222,-71.4377778
11/2/1999,10/2/1995,12:20 am,25 sec.,,"woman goes out to smoke, witnesses overhead ""something flapping its wings, like a pteradactyl.""  obj. flew nw. had blue lights.",santa rosa,ca,38.4405556,-122.7133333
11/2/1999,10/2/1995,07:50 pm,5 sec.,,"man witnesses very small, very bright light descending rapidly in ne sky.  approx. 1/10 diameter of moon.",farmington,mn,44.6402778,-93.1433333
12/23/2002,10/2/2000,11:00 pm,hour,,"lights gradually coming on, and then going off in formation.",fairbanks,ak,64.8377778,-147.7163889
10/10/2011,10/2/2011,09:00 pm,2 days,,red and green lights over marion indiana,marion,in,40.5583333,-85.6591667
11/2/1999,10/22/1995,02:30 am,15 min.,,"man, wife, 2 children,  driving down long hill, see bizarre cluster of lights, ""like christmas tree in the sky.""  multiple witnesses.",bessemer,al,33.4016667,-86.9544444
11/2/1999,10/22/1995,07:35 pm,6 sec.,,"young girl w/ friends witness bizarre ""triangle w/ 3 red, dim lights,"" streak across sky.  strobed bright light.  scared, nauseous.",auburn,ca,38.8966667,-121.0758333
12/2/2000,10/22/2000,04:30 am,15 minutes,,flashing lights around planet or star.,oshkosh,wi,44.0247222,-88.5425
11/3/2005,10/22/2005,09:10 pm,3-4 seconds,,"my name is fritz hughes, i live in little rock ar. on oct.22nd 2005 at approximately 9:10 pm cdt i was out on our back patio smoking a",little rock,ar,34.7463889,-92.2894444
11/2/1999,10/23/1995,09:30 pm,15 min.,,"young couple witness 2 ""huge"" objects pass overhead.  had no wings, 20 lights (est.) per side.  very visible  ""hummed.""  good rpt.",johnson city,tn,36.3133333,-82.3536111
12/12/2011,10/23/2011,07:05 am,5 seconds,,bright light flash,center city,tx,31.4702778,-98.4086111
10/25/2011,10/23/2011,07:05 pm,30 seconds,,redish object just kind of hovering then disappeared.,tacoma,wa,47.2530556,-122.4430556
11/2/1999,10/24/1995,02:00 am,1 min.,,"man calls to relay sighting of ""very large white light in sky.""  obj. developed ""tail like comet.""  other observers.  called police.",hollister,ca,36.8525,-121.4005556
11/2/2004,10/24/2004,11:00 pm,4 seconds,,i have a question about something that happened to me just the other night that i cant explain in the sky. ((meteor??)),zanesville,oh,39.9402778,-82.0133333
10/31/2008,10/24/2008,08:30 pm,minute,,large flame flickered across sky,gaviota,ca,34.4716667,-120.2138889
11/2/1999,10/25/1996,11:08 am,25 sec.,,"man, entering hwy. i-95, sees 2 round objs. hovering motionless in clear sky.  color of pencil lead w/ copper.  objs. streak in 1 sec.",laurel,md,39.0991667,-76.8486111
11/21/2010,10/25/2010,07:25 pm,5-10 sec,,orange light in the sky viewed form omer michigan,omer,mi,44.0475,-83.8544444
11/1/1998,10/26/1998,12:30 am,1-2 minutes,,i hung up the phone with a friend and went to bed. i had pulled the covers around my shoulders and my eyes were closed. with closed eye,marina del rey,ca,33.9802778,-118.4508333
11/28/2007,10/26/2007,12:00 am,5 seconds,,"witnessed a thin bright, white streak in the sky lasting only a few seconds  prior to ending in a white flash followed by a bright gree",oregon city,or,45.3575,-122.6055556
11/2/1999,10/27/1995,09:23 pm,15 min.,,"woman &amp  3 witnesses rpt stat. obj flashing white, green, red lights.  zigzags dramatically. (reptd. 02no95 obj. not visible in sky.)",siletz,or,44.7219444,-123.9188889
12/12/2009,10/27/2009,06:20 pm,15 min,,symbolic contrails over kaneohe that looked like squares and arcs,kaneohe,hi,21.4180556,-157.8036111
11/21/2010,10/27/2010,08:00 am,90 min.,,"looked like sattelite or star, extreme acceleration",jonesville,mi,41.9841667,-84.6619444
11/2/1999,10/28/1995,01:30 am,3 hrs.,,"man &amp  wife see very bright obj do ""loop"" then see 3 more objs.  got other witnesses, saw 11 objs! seemed to ""shoot at each other.""",greenwood,ca,38.8966667,-120.9116667
11/2/1999,10/28/1995,08:00 pm,2 sec.,,"woman repts. a ""white, round meteor,"" viewed from rte. 64.  viewed to north approx. 25 deg. above horizon.",auburn,wa,47.3075,-122.2272222
10/31/2008,10/28/2008,07:35 pm,2 minutes 10 seconds,,"formation of yellow-orange,gold orbs",phillipsburg,ks,39.7561111,-99.3236111
12/12/2009,10/28/2009,07:30 pm,2 or 3 minutes,,"2 large orange illuminating round lights moving slowly in nw sky above horizon outside of selah,wa.",selah,wa,46.6541667,-120.5288889
11/2/1999,10/29/1995,09:40 pm,30 min.,,"woman repts. ""4 lights, then 6 lights, look like bright street lights in the sky.""  criss-crossing, dancing motion. (adv. lights?)",ellisville,mo,38.5925,-90.5869444
11/2/1999,10/29/1995,09:40 pm,1 minute,,"man &amp  wife witness very bizarre obj. moving erratically in sky.  ""it looked like an airplane, but it wasn't (one.)""  1 blinking light.",kodak,tn,35.9744444,-83.6269444
12/20/2012,10/29/2012,10:30 am,seconds,,unusual alien in the window - non grey.,woonsocket,ri,42.0027778,-71.5152778
11/2/1999,10/30/1995,11:30 pm,30 min.,,"woman rpts peculiar bright obj. in nw sky, 45 deg. above horizon.  (reported 02no95 obj. was not present on subsequent nights.)",seattle,wa,47.6063889,-122.3308333
12/2/2000,10/30/2000,07:00 pm,less than one minute,,bright green light moving fast,austintown,oh,41.1016667,-80.7647222
12/12/2009,10/30/2002,01:00 am,2 minutes,,san diego ca marine air base ball of light,san diego,tx,27.7636111,-98.2386111
11/8/2003,10/30/2003,09:17 pm,2 seconds,,"while i was driving, a green light streaked so low overhead that i thought it was going to crash into the hills.",spokane,wa,47.6588889,-117.425
5/11/2000,10/31/1974,05:45 pm,about 1 minute,,"orange light different from landing aircraft at o'hare airport shot up, then to the right and then out of site in about 5 seconds.",chicago,il,41.85,-87.65
9/28/2002,10/31/1995,08:45 pm,4 min.,,"woman witnessed apparently round obj. w/ 7 lights on rim, alternating red &amp  white.  lights gave impression they were ""circling.""",startup,wa,47.8680556,-121.7391667
11/2/1999,10/31/1995,09:10 pm,4 sec.,,"man sitting in hot tub sees ""satellite"" in e sky.  obj. suddenly accelerated dramatically, made zigzag turns, departed very fast.",tacoma,wa,47.2530556,-122.4430556
11/2/1999,10/31/1995,10:05 pm,20 sec.,,"passenger in car noticed ""haze"" that appeared to be divided into 3 ""sections"" w/ bright light in center.  changed shape, became disc.",west hartford,ct,41.7636111,-72.6855556
11/2/1999,10/31/1996,02:15 am,30 sec.,,"sec. officer at hospital  sees very bright blue light.  silhouetted by cloud, appears as ""coffee table w/ shirt box on top."" erratic.",boerne,tx,29.7944444,-98.7316667
11/2/1999,10/31/1999,09:30 pm,10/15seconds,,"weather conditons were winds gusting 40/45 mph when all power went off in area, we stepped outside and immediatly nsaw 8/10 large red l",billings,mt,45.7833333,-108.5
11/2/2004,10/31/2004,07:56 pm,16 minutes,,3 very bright red lights.,matteson,il,41.5038889,-87.7130556
11/3/2005,10/31/2005,09:15 pm,few seconds,,"very bright flash with a tail seen in the night sky on oct. 31, 2005 between 21:00 and 21:30 over leesburg, va.",leesburg,va,39.1155556,-77.5638889
2/1/2007,10/31/2006,08:00 am,60 minutes,,perfect  giant circular hole in heavy clouds with a clear blue sky only within the hole.,chicago,il,41.85,-87.65
11/21/2010,10/31/2010,05:00 pm,15 minutes,,cylinder  shaped flying steady like a hawk on top of my dad's house.,roselle,il,41.9847222,-88.0797222
11/17/1999,10/3/1999,11:00 pm,1 second,,green fireball on october 3rd.,orondo,wa,47.6261111,-120.2241667
10/11/2005,10/3/2005,10:00 pm,1/2 hour +,,bright stationary red light on a partially cloudy night in an area of the sky in which no stars were visable. this was not a star/plane,lake villa,il,42.4169444,-88.0738889
11/1/1998,10/4/1998,02:45 am,1 minute +,,"very bright white light,  appeared to be about half the diameter of the moon.",albuquerque,nm,35.0844444,-106.6505556
10/19/1999,10/4/1999,07:25 pm,5 seconds,,"bright light flashed on, moved slightly to right, dissipated, light lingered briefly",tucson,az,32.2216667,-110.9258333
10/28/2002,10/5/2002,07:45 am,90 sec. arpox,,more than one saw the object over las cruces,las cruces,nm,32.3122222,-106.7777778
10/10/2011,10/5/2011,05:10 am,5 mins.,,"while walking my dog i noticed a bright orange object which i thought to be mars. however, as i was looking at it, it grew brighter, an",oakville,ct,41.5933333,-73.0858333
10/30/2012,10/5/2012,12:30 am,1 minute,,i was sitting at my computer when i saw a light flash down on the tree between me and my neighbors houses. then it happened again about,torrance,ca,33.8358333,-118.3397222
11/2/1999,10/6/1995,07:00 pm,15 min.,,"man witnesses ""small whitish, blue-green ball"" pass overhead, flying to east.",puyallup,wa,47.1855556,-122.2916667
10/30/2012,10/6/2012,12:40 am,90 seconds,,"i am a retired plychologist age 64. i sit out every night till about 2pm facing the south. i saw  a large round orange ball, like a pu",cranston,ri,41.7797222,-71.4377778
